,Model,Base Accuracy,Base Precision,Base Recall,Base F1,Base ROC-AUC,Tuned Accuracy,Tuned Precision,Tuned Recall,Tuned F1,Tuned ROC-AUC,Accuracy Improvement,Precision Improvement,Recall Improvement,F1 Improvement,ROC-AUC Improvement
0,Random Forest,0.8844444444444445,0.8903614457831325,0.8633177570093458,0.8766310794780545,0.9547671966576905,0.8894444444444445,0.8943577430972389,0.8703271028037384,0.8821788040260509,0.9557869178678917,0.0050000000000000044,0.003996297314106445,0.007009345794392607,0.005547724547996347,0.0010197212102012188
1,Gradient Boosting,0.8883333333333333,0.8950542822677925,0.866822429906542,0.8807121661721068,0.9588968200538571,0.8883333333333333,0.8950542822677925,0.866822429906542,0.8807121661721068,0.9603026492951054,0.0,0.0,0.0,0.0,0.0014058292412483242
2,AdaBoost,0.8855555555555555,0.8896882494004796,0.866822429906542,0.8781065088757396,0.9501425629653096,0.8855555555555555,0.888755980861244,0.8679906542056075,0.8782505910165485,0.9526213270236021,0.0,-0.00093226853923567,0.00116822429906549,0.0001440821408088544,0.002478764058292504
